title,min,max,center,mean,all_years,used_expressions,ignored_expressions
"
"
"GAG392: Phosphor und der Streik der Streichholzarbeiterinnen
",1888,1888,1888,1888,"[1888, 1888, 1888]","[""Sommer 1888"", ""May"", ""May""]",[]
"GAG391: Celia Cooney, die Banditin mit der Kurzhaarfrisur
",1900,1999,1949,1932,"[1920, 1929, 1924, 1900, 1999, 1924]","[""1920er Jahre"", ""Jahres 1924"", ""20. Jahrhunderts"", ""Jahr 1924""]",[]
"GAG390: Kleopatra Selene und das Ende der Römischen Republik
",30,30,30,30,[30],"[""Jahr 30""]",[]
"GAG389: Spieglein, Spieglein an der Wand
",1600,1699,1649,1649,"[1600, 1699]","[""17. Jahrhunderts""]",[]
"GAG388: Marie Tussaud und die Wachsfiguren
"
"GAG387: Nurhaci und die Entstehung der Mandschu
",1600,1699,1649,1649,"[1600, 1699]","[""17. Jahrhundert""]",[]
"GAG386: Der Wettlauf zum Nordpol
",30,1899,964,757,"[30, 30, 1800, 1899, 30]","[""August"", ""der zweiten Hälfte"", ""19. Jahrhunderts"", ""August""]",[]
"GAG385: Delmonico's und der erste Starkoch der USA
",1800,1899,1849,1849,"[1800, 1899, 1800, 1899]","[""19. Jahrhunderts"", ""19. Jahrhunderts""]",[]
"GAG384: Flaschenpost und die Erforschung der Ozeane
",1864,1864,1864,1864,[1864],"[""1864""]","[""heute""]"
"GAG383: Bletchley Park
",1939,2009,1974,1974,"[1939, 2009]","[""September 1939"", ""2009""]","[""heute""]"
"GAG382: Der erste Film
",1888,1890,1889,1889,"[1888, 1890]","[""1888"", ""1890""]",[]
"GAG381: Mau Piailug und die Besiedelung des Pazifiks
",1900,2006,1953,1970,"[1900, 1999, 1970, 1979, 2006]","[""20. Jahrhundert"", ""den 1970er Jahren"", ""Jahr 2006""]","[""heute""]"
"GAG380: Das Maß aller Dinge
",1792,1792,1792,1792,[1792],"[""Jahr 1792""]",[]
"GAG379: Theodor von Neuhoff - König von Korsika
",1700,1799,1749,1746,"[1700, 1799, 1740]","[""18. Jahrhundert"", ""Jahr 1740""]",[]
"GAG378: Ein langer Marsch durch Feindesland
",401,401,401,401,[401],"[""Jahr 401""]","[""bald""]"
"GAG377: Aufstieg und Fall des Templerordens
",1100,2017,1558,1708,"[1100, 1199, 1307, 2017, 2017, 2001, 2012, 2012]","[""12. Jahrhunderts"", ""Jahr 1307"", ""2017"", ""2017"", ""2001"", ""2012"", ""2012""]",[]
"GAG376: Nagelmackers und der Orient-Express
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhunderts""]",[]
"GAG375: Sofia Kowalewskaja, ""Königin der Wissenschaft""
",1800,2017,1908,1939,"[1800, 1899, 1850, 2000, 2000, 2011, 2017, 1993, 1888]","[""19. Jahrhunderts"", ""Jahr 1850"", ""15. Oktober 2000"", ""2000"", ""2011"", ""2017"", ""1993"", ""Jahr 1888""]",[]
